id,satisfaction,intention_achat,prix_percu,plaisir,naturalite,confiance,ancrage_local,usage_numerique,sensibilite_env,attention_prix,contrainte_temps,cuisine_maison,lecture_labels,achat_local,ouverture_innovation,usage_appli_alim,preoccupation_sante,autonomie_alimentaire,confiance_labels,type_produit,budget_contraint,sexe,age_classe,lieu_achat,profil_alim,commentaire
81,7.4,7.0,6.0,4.3,6.0,7.6,8.0,3.4,9,3.1,5.3,6.6,5.9,6.3,8.0,4.7,9,6.5,6.3,local,faible,femme,26-40,supermarche,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. La dimension environnementale compte aussi dans ma décision. Dans mes achats, je fais attention à la qualité."
82,3.3,2.9,5.7,3.0,6.2,5.8,5.1,5.8,3.6,7.5,7.8,4.7,4.7,5.6,5.1,5.7,7.0,4.1,3.1,bio,fort,femme,26-40,drive,pragmatique,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je peux être intéressé si l'effort demandé reste limité. Au quotidien, l'accès au magasin influence beaucoup mes choix."
83,4.7,4.5,5.5,5.9,6.6,6.8,7.6,4.9,6.3,6.1,8.1,4.6,3.8,5.3,5.3,5.7,5.1,3.3,2.2,local,moyen,homme,18-25,supermarche,engage,"Je regarde surtout le prix et le côté pratique. Je valorise la transparence et la qualité des informations. Dans mes achats, je fais attention à la qualité."
84,7.0,5.3,7.4,6.0,7.0,4.6,5.7,8.2,6.7,8.4,6.0,4.0,3.8,6.8,5.9,4.4,4.9,4.1,2.2,local,faible,femme,18-25,supermarche,intermediaire,Je choisis souvent ce qui est disponible rapidement et facile à acheter. J'ai besoin d'informations simples pour me faire une opinion. Je peux changer d'avis si les labels sont compréhensibles.
85,5.7,5.5,4.8,6.6,4.8,6.2,6.1,7.2,4.9,5.4,3.9,5.3,4.8,4.4,4.3,3.0,6.4,6.6,3.3,bio,faible,femme,41-60,magasin_bio,pragmatique,"Je privilégie les produits locaux et les circuits courts. Je choisis d'abord ce qui est accessible et facile. Pour ce type de produit, j'attends surtout une information claire."
86,4.9,3.8,6.3,5.6,8.8,8.2,6.3,4.7,7.5,5.9,5.0,5.9,8.4,8.0,4.9,8.4,6.0,5.9,8.7,local,fort,femme,41-60,marche,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. Je cherche une alimentation plus responsable. Dans mes achats, je fais attention à la praticité."
87,5.9,5.6,4.8,6.2,7.6,5.3,4.9,5.2,8.7,6.8,4.5,7.9,3.2,7.0,3.2,4.2,3.7,3.1,4.4,standard,faible,femme,60+,supermarche,engage,Je privilégie les produits locaux et les circuits courts. La dimension environnementale compte aussi dans ma décision. Je peux changer d'avis si les labels sont compréhensibles.
88,6.3,4.3,7.2,4.9,8.3,8.7,6.7,8.7,6.5,4.1,4.4,7.0,6.9,5.0,2.6,5.0,4.7,4.9,6.1,local,faible,homme,26-40,supermarche,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, le temps disponible influence beaucoup mes choix."
89,5.6,4.6,5.6,6.6,6.4,6.2,6.7,6.8,6.7,4.3,5.7,8.7,4.0,9.0,6.9,3.3,2.8,5.3,2.9,bio,moyen,homme,18-25,supermarche,intermediaire,Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je peux être intéressé si je suis suffisamment rassuré. Je peux changer d'avis si le produit est facile à acheter.
90,4.6,3.6,6.7,7.6,4.4,7.1,4.5,6.2,6.0,4.0,4.1,5.0,6.3,4.5,7.0,6.6,4.5,6.5,5.8,standard,fort,femme,41-60,magasin_bio,pragmatique,Je peux changer mes habitudes si le produit me convainc. Je peux être intéressé si l'effort demandé reste limité. Je peux changer d'avis si les labels sont compréhensibles.
91,5.2,4.9,6.2,5.5,4.2,5.8,7.5,6.9,5.9,5.8,4.9,4.9,4.8,4.3,4.1,5.1,5.1,5.4,3.0,local,moyen,femme,26-40,supermarche,intermediaire,"Le produit peut m'intéresser si le rapport qualité-prix est bon. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, l'accès au magasin influence beaucoup mes choix."
92,5.5,4.8,5.2,5.8,8.8,7.6,5.4,4.5,6.6,6.9,3.0,6.6,5.0,6.5,4.3,3.7,6.0,6.9,5.1,standard,faible,homme,18-25,magasin_bio,engage,"Je recherche une alimentation plus responsable et plus transparente. Je cherche une alimentation plus responsable. Au quotidien, l'habitude influence beaucoup mes choix."
93,4.7,4.2,6.3,6.9,6.8,8.3,8.3,6.5,8.5,4.5,5.7,8.7,6.9,6.4,5.7,6.5,6.2,8.1,6.3,bio,fort,homme,18-25,producteur,engage,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. La dimension environnementale compte aussi dans ma décision. Au quotidien, le temps disponible influence beaucoup mes choix."
94,6.8,6.3,5.5,7.5,7.9,6.8,6.6,6.8,6.4,4.3,6.1,5.2,7.1,7.1,8.4,6.2,5.2,5.5,5.5,local,fort,homme,26-40,producteur,engage,"Je teste facilement de nouvelles offres quand les informations sont claires. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à le prix."
95,5.9,5.0,7.1,7.6,5.9,7.7,5.1,2.7,7.4,7.6,5.9,9,6.0,6.6,8.1,2.8,5.8,4.8,5.3,bio,faible,femme,26-40,marche,pragmatique,"Je peux changer mes habitudes si le produit me convainc. Je ne veux pas que cela complique mes courses. Dans mes achats, je fais attention à la confiance."
96,6.7,6.8,2.9,6.9,7.8,7.5,8.3,3.9,8.7,6.6,7.0,7.9,3.7,5.9,8.1,6.3,6.7,4.7,5.5,local,fort,femme,26-40,supermarche,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. Je cherche une alimentation plus responsable. Au quotidien, l'accès au magasin influence beaucoup mes choix."
97,4.8,3.6,7.1,9,7.4,6.9,7.2,5.6,6.3,7.5,5.8,5.7,6.7,5.3,8.7,7.8,6.7,4.7,6.4,bio,moyen,homme,41-60,producteur,intermediaire,"J'aime découvrir de nouveaux produits et comparer les informations. Je compare plusieurs critères avant de décider. Dans mes achats, je fais attention à l'origine."
98,4.7,1.1,7.6,8.2,7.2,3.9,1.6,6.5,3.4,6.1,8.4,2.0,3.4,3.7,7.5,5.8,4.2,3.7,4.0,bio,moyen,femme,26-40,supermarche,pragmatique,"J'aime découvrir de nouveaux produits et comparer les informations. Mais le prix reste un critère important. Dans mes achats, je fais attention à la confiance."
99,5.4,2.5,5.0,6.1,5.6,6.5,3.6,6.4,9,6.1,9,4.8,5.3,6.5,1,7.1,7.1,5.2,3.3,bio,fort,femme,26-40,supermarche,intermediaire,Je regarde surtout le prix et le côté pratique. Je compare plusieurs critères avant de décider. Je peux changer d'avis si le bénéfice est clair.
100,6.0,5.2,4.0,6.1,7.4,8.6,5.5,8.3,9,5.5,4.6,6.2,5.2,5.4,7.6,9,8.3,3.8,5.9,standard,moyen,femme,18-25,producteur,engage,Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. L'engagement du produit doit être crédible et concret. Je peux changer d'avis si l'origine est bien expliquée.
101,3.4,3.1,5.2,5.4,6.7,5.7,6.0,6.3,9,7.4,5.0,4.1,6.1,6.5,5.9,4.3,7.4,5.5,4.9,bio,fort,femme,41-60,supermarche,engage,"Les promesses responsables sont intéressantes, mais je reste attentif au coût. La dimension environnementale compte aussi dans ma décision. Pour ce type de produit, j'attends surtout un produit facile à trouver."
102,7.2,5.1,6.0,5.9,9,7.5,4.9,3.5,6.6,6.8,7.7,5.3,4.7,4.9,7.6,3.0,4.7,8.7,7.1,bio,moyen,homme,41-60,drive,intermediaire,"Je privilégie les produits locaux et les circuits courts. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
103,4.5,4.6,6.1,7.4,4.8,5.3,3.7,5.1,5.2,6.3,7.0,6.4,5.3,7.3,5.9,7.3,6.4,3.4,6.6,standard,moyen,femme,41-60,marche,pragmatique,"J'aime découvrir de nouveaux produits et comparer les informations. Je choisis d'abord ce qui est accessible et facile. Au quotidien, l'habitude influence beaucoup mes choix."
104,4.7,2.5,8.3,6.6,5.9,7.2,4.3,6.2,5.3,4.4,6.4,7.4,7.4,8.1,5.8,5.1,8.3,3.7,7.0,bio,moyen,homme,41-60,magasin_bio,pragmatique,"Je privilégie les produits locaux et les circuits courts. Je choisis d'abord ce qui est accessible et facile. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
105,5.4,5.9,4.7,6.0,4.9,9,5.2,4.0,7.3,6.2,6.5,5.2,7.0,4.3,4.0,3.9,7.0,3.6,6.1,standard,faible,femme,60+,producteur,intermediaire,Je privilégie les produits locaux et les circuits courts. Je peux être intéressé si je suis suffisamment rassuré. Je peux changer d'avis si le prix reste acceptable.
106,5.9,3.5,5.1,4.1,6.0,7.6,3.7,5.1,7.5,5.5,7.3,5.3,5.4,5.8,6.1,8.5,4.0,4.1,4.1,standard,moyen,homme,41-60,magasin_bio,intermediaire,"J'aime découvrir de nouveaux produits et comparer les informations. J'ai besoin d'informations simples pour me faire une opinion. Dans mes achats, je fais attention à la praticité."
107,5.8,4.9,5.0,6.4,4.7,6.8,3.4,7.6,5.4,2.5,6.0,5.7,5.1,3.4,5.1,6.2,7.5,4.1,6.3,standard,faible,femme,26-40,supermarche,pragmatique,"J'aime découvrir de nouveaux produits et comparer les informations. Je ne veux pas que cela complique mes courses. Pour ce type de produit, j'attends surtout une vraie cohérence."
108,4.5,6.3,6.1,5.3,3.8,5.4,5.8,5.5,7.4,2.4,5.0,3.3,4.4,2.6,6.3,7.4,5.3,6.2,4.0,local,moyen,homme,26-40,marche,pragmatique,"Je teste facilement de nouvelles offres quand les informations sont claires. Mais le prix reste un critère important. Dans mes achats, je fais attention à la confiance."
109,6.2,5.7,5.9,7.5,7.4,8.0,5.7,5.2,6.8,1.5,6.6,7.4,6.4,5.1,5.0,4.6,5.7,5.0,6.5,local,moyen,homme,60+,marche,intermediaire,J'aime savoir qui produit et comment le produit a été fabriqué. J'hésite encore selon le prix et la disponibilité. Je peux changer d'avis si le produit est facile à acheter.
110,7.6,6.2,6.1,6.3,7.4,7.8,5.2,1,9,7.5,5.5,5.4,2.1,5.7,2.6,2.3,4.0,2.8,2.9,local,fort,femme,41-60,supermarche,engage,"Le produit peut m'intéresser si le rapport qualité-prix est bon. La dimension environnementale compte aussi dans ma décision. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
111,5.1,7.1,3.9,4.4,9,9.0,6.0,6.1,8.2,7.3,6.2,3.8,6.2,2.9,2.9,3.3,5.1,5.9,5.3,bio,moyen,homme,26-40,producteur,engage,"Le produit peut m'intéresser si le rapport qualité-prix est bon. L'engagement du produit doit être crédible et concret. Pour ce type de produit, j'attends surtout une information claire."
112,7.5,5.9,5.7,7.1,5.4,8.7,4.5,1,7.0,4.2,6.9,5.9,2.8,6.3,2.4,4.6,2.8,8.1,4.6,local,faible,femme,60+,marche,pragmatique,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je choisis d'abord ce qui est accessible et facile. Au quotidien, l'accès au magasin influence beaucoup mes choix."
113,3.9,4.8,6.1,6.0,6.5,7.0,6.9,4.6,3.2,7.0,9,3.1,5.9,4.6,2.1,4.2,5.0,3.9,4.8,standard,fort,homme,26-40,supermarche,pragmatique,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je ne veux pas que cela complique mes courses. Au quotidien, l'accès au magasin influence beaucoup mes choix."
114,6.6,4.2,6.0,5.5,9,6.5,4.9,6.6,8.7,4.6,6.9,4.8,4.9,2.2,6.4,9,8.4,4.3,5.0,local,moyen,homme,41-60,drive,engage,"Je teste facilement de nouvelles offres quand les informations sont claires. Je valorise la transparence et la qualité des informations. Pour ce type de produit, j'attends surtout une vraie cohérence."
115,6.2,5.3,3.0,6.2,6.5,6.8,5.8,1.7,5.5,4.0,2.2,6.5,6.7,3.9,5.4,4.4,9,5.5,5.8,standard,moyen,femme,26-40,marche,engage,J'aime savoir qui produit et comment le produit a été fabriqué. Je cherche une alimentation plus responsable. Je peux changer d'avis si le bénéfice est clair.
116,8.0,6.3,3.6,6.8,6.0,8.2,7.3,3.9,7.9,4.6,6.4,6.5,5.0,9,3.1,3.1,7.3,9,3.5,bio,moyen,homme,26-40,supermarche,engage,"Je privilégie les produits locaux et les circuits courts. La dimension environnementale compte aussi dans ma décision. Au quotidien, le budget influence beaucoup mes choix."
117,6.0,5.8,5.6,4.3,7.6,4.8,5.6,6.1,6.3,7.3,8.2,4.2,6.2,3.9,2.3,4.5,6.2,6.1,4.6,bio,moyen,homme,41-60,supermarche,intermediaire,Le produit peut m'intéresser si le rapport qualité-prix est bon. Je compare plusieurs critères avant de décider. Je peux changer d'avis si l'origine est bien expliquée.
118,4.2,3.6,6.1,6.1,8.6,8.4,5.4,8.9,6.2,6.3,5.5,3.5,5.9,3.9,4.4,5.8,5.1,6.2,4.9,bio,fort,homme,26-40,marche,intermediaire,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. J'ai besoin d'informations simples pour me faire une opinion. Dans mes achats, je fais attention à la praticité."
119,7.3,6.5,4.4,6.0,7.5,7.0,8.2,1.8,8.3,5.5,5.7,7.4,4.7,8.0,3.2,2.4,3.9,5.0,4.4,bio,moyen,femme,41-60,marche,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. Je valorise la transparence et la qualité des informations. Au quotidien, la clarté des informations influence beaucoup mes choix."
120,6.1,5.5,5.8,4.5,6.0,7.0,6.8,4.9,6.0,3.4,4.9,3.2,6.7,7.1,6.2,9,3.2,3.4,6.6,local,moyen,homme,18-25,magasin_bio,intermediaire,Je teste facilement de nouvelles offres quand les informations sont claires. Je compare plusieurs critères avant de décider. Je peux changer d'avis si le produit est facile à acheter.
121,4.9,3.8,6.7,6.2,6.3,6.6,6.5,4.1,4.8,5.1,6.2,2.7,3.8,5.1,4.8,3.5,6.3,3.0,3.4,bio,moyen,homme,26-40,magasin_bio,pragmatique,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je choisis d'abord ce qui est accessible et facile. Pour ce type de produit, j'attends surtout une information claire."
122,6.2,4.6,4.8,5.1,7.3,6.6,3.7,3.7,5.8,5.3,5.1,4.4,6.6,5.6,7.3,8.4,7.1,4.3,7.2,local,fort,femme,18-25,producteur,intermediaire,"Je peux changer mes habitudes si le produit me convainc. Je compare plusieurs critères avant de décider. Pour ce type de produit, j'attends surtout une information claire."
123,4.6,2.4,6.8,5.5,3.6,7.2,5.8,1.0,4.0,5.4,7.6,3.4,5.8,4.1,1,8.6,7.5,4.4,8.2,standard,fort,homme,18-25,supermarche,pragmatique,"Les promesses responsables sont intéressantes, mais je reste attentif au coût. Mais le prix reste un critère important. Je peux changer d'avis si le bénéfice est clair."
124,4.6,4.9,3.1,6.0,5.9,5.5,7.6,5.8,5.7,5.3,2.7,3.5,9,7.0,7.8,7.4,5.6,5.5,5.4,standard,faible,femme,26-40,producteur,engage,"Je privilégie les produits locaux et les circuits courts. La dimension environnementale compte aussi dans ma décision. Dans mes achats, je fais attention à le prix."
125,3.9,4.6,6.6,6.9,5.0,5.5,4.6,4.9,5.6,5.4,6.4,7.6,6.3,5.8,4.9,7.9,6.1,6.2,8.0,local,moyen,homme,18-25,supermarche,pragmatique,"Je teste facilement de nouvelles offres quand les informations sont claires. Je ne veux pas que cela complique mes courses. Au quotidien, l'habitude influence beaucoup mes choix."
126,5.8,5.2,6.0,9,2.8,5.1,7.0,9,4.2,4.2,4.5,2.9,3.6,3.5,5.0,5.7,5.9,4.9,4.4,standard,faible,homme,18-25,drive,pragmatique,"Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. Je choisis d'abord ce qui est accessible et facile. Dans mes achats, je fais attention à la qualité."
127,5.8,6.2,5.7,5.9,6.5,7.0,5.6,1.0,8.4,4.8,7.0,8.7,6.0,9,4.3,1.6,6.3,7.1,8.4,local,fort,femme,60+,magasin_bio,engage,Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. L'engagement du produit doit être crédible et concret. Je peux changer d'avis si l'origine est bien expliquée.
128,6.3,5.2,7.4,7.8,8.8,8.2,8.2,8.2,7.4,4.7,5.2,6.9,6.1,6.3,3.1,8.0,5.5,5.1,6.1,bio,faible,femme,41-60,magasin_bio,engage,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. L'engagement du produit doit être crédible et concret. Au quotidien, le budget influence beaucoup mes choix."
129,4.6,3.4,4.5,7.1,6.1,5.5,5.2,3.8,6.4,5.8,5.0,8.0,5.1,5.4,6.9,5.0,4.9,6.0,4.7,standard,fort,homme,26-40,supermarche,intermediaire,Je choisis souvent ce qui est disponible rapidement et facile à acheter. Je peux être intéressé si je suis suffisamment rassuré. Je peux changer d'avis si le prix reste acceptable.
130,3.9,4.4,7.2,4.8,6.1,5.9,5.4,9,4.9,8.7,9,4.1,6.1,7.0,7.1,2.4,5.9,3.8,3.7,standard,moyen,femme,18-25,producteur,pragmatique,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je choisis d'abord ce qui est accessible et facile. Pour ce type de produit, j'attends surtout une information claire."
131,3.9,3.0,5.7,5.9,7.4,5.6,3.1,7.0,9,6.1,2.9,6.5,9,8.6,6.4,3.4,5.3,5.2,6.0,bio,fort,femme,41-60,supermarche,intermediaire,"Je privilégie les produits locaux et les circuits courts. J'hésite encore selon le prix et la disponibilité. Au quotidien, le budget influence beaucoup mes choix."
132,7.9,7.2,6.7,6.4,7.0,7.2,5.7,6.6,6.1,5.5,6.4,5.5,1.6,2.9,9,6.2,8.0,2.3,6.6,local,moyen,femme,26-40,marche,intermediaire,"Je combine plusieurs critères avant de décider. J'ai besoin d'informations simples pour me faire une opinion. Au quotidien, la clarté des informations influence beaucoup mes choix."
133,3.8,3.4,9,3.5,7.2,6.5,8.0,6.1,5.7,5.3,3.1,4.7,3.4,6.0,9,5.3,8.8,4.5,5.6,local,faible,femme,60+,magasin_bio,intermediaire,"Je teste facilement de nouvelles offres quand les informations sont claires. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, la clarté des informations influence beaucoup mes choix."
134,6.2,5.4,6.2,7.0,9,7.1,5.1,5.4,8.3,8.1,7.4,9,6.5,5.9,2.7,6.6,7.5,6.4,8.2,bio,faible,femme,41-60,marche,engage,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je valorise la transparence et la qualité des informations. Dans mes achats, je fais attention à la confiance."
135,4.2,3.6,5.5,5.0,4.5,5.6,5.1,6.6,9,5.9,4.9,4.0,2.2,5.5,9.0,8.7,8.8,6.3,4.7,standard,fort,femme,26-40,drive,intermediaire,"J'aime découvrir de nouveaux produits et comparer les informations. Je peux être intéressé si je suis suffisamment rassuré. Dans mes achats, je fais attention à la confiance."
136,5.6,2.9,5.6,7.7,9,5.9,2.7,3.0,3.4,7.8,8.0,6.4,7.5,4.3,6.6,1.6,5.7,7.9,4.9,bio,moyen,homme,60+,supermarche,pragmatique,"Le produit peut m'intéresser si le rapport qualité-prix est bon. Mais le prix reste un critère important. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
137,4.4,2.9,6.3,6.2,4.9,6.2,7.3,5.8,4.6,7.7,8.2,4.5,3.5,4.9,3.0,6.9,5.6,4.5,5.4,local,moyen,femme,41-60,producteur,pragmatique,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Mais le prix reste un critère important. Au quotidien, la clarté des informations influence beaucoup mes choix."
138,8.1,6.6,4.8,5.6,6.6,7.6,6.7,3.4,2.9,5.3,4.6,3.4,7.7,8.0,4.6,3.8,2.8,7.5,6.1,local,faible,homme,26-40,supermarche,pragmatique,Je privilégie les produits locaux et les circuits courts. Je choisis d'abord ce qui est accessible et facile. Je peux changer d'avis si le prix reste acceptable.
139,6.0,5.4,4.5,7.0,4.6,6.5,3.7,5.3,4.6,3.3,5.4,5.5,5.3,5.5,5.4,6.8,4.6,8.9,7.7,standard,moyen,femme,26-40,drive,pragmatique,"Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. Mais le prix reste un critère important. Dans mes achats, je fais attention à la confiance."
140,7.3,8.0,3.5,6.6,8.8,9,5.6,6.6,9,3.3,5.7,5.4,6.8,5.4,3.9,6.4,2.5,3.9,5.1,local,moyen,femme,26-40,drive,engage,"J'aime découvrir de nouveaux produits et comparer les informations. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à la santé."
141,4.7,4.7,5.4,5.0,4.7,8.2,5.5,6.7,8.0,6.5,7.9,6.6,6.9,8.8,4.6,3.6,5.3,5.4,7.8,standard,faible,femme,41-60,producteur,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. J'ai besoin d'informations simples pour me faire une opinion. Je peux changer d'avis si le bénéfice est clair."
142,5.0,4.7,4.9,5.4,5.2,6.5,4.5,6.6,7.0,6.1,6.7,6.4,5.1,3.9,3.8,6.1,7.1,4.3,5.6,local,moyen,homme,26-40,drive,intermediaire,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. J'ai besoin d'informations simples pour me faire une opinion. Je peux changer d'avis si l'origine est bien expliquée."
143,6.9,6.4,3.0,6.2,9,8.3,4.2,9,7.9,7.9,5.4,8.7,9,7.7,4.8,4.7,5.5,8.2,7.7,standard,moyen,femme,26-40,marche,engage,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je valorise la transparence et la qualité des informations. Dans mes achats, je fais attention à la praticité."
144,3.8,3.5,6.1,7.1,6.8,8.2,7.3,1.9,7.3,6.7,4.6,2.7,5.4,6.1,5.7,5.8,1.9,8.4,5.5,standard,fort,homme,26-40,supermarche,engage,"Je combine plusieurs critères avant de décider. L'engagement du produit doit être crédible et concret. Pour ce type de produit, j'attends surtout une information claire."
145,6.1,6.6,5.1,6.9,3.8,6.6,2.6,6.7,5.9,5.5,2.8,5.6,2.7,3.2,6.8,7.0,5.4,5.3,4.9,standard,faible,femme,26-40,supermarche,pragmatique,J'aime découvrir de nouveaux produits et comparer les informations. Je peux être intéressé si l'effort demandé reste limité. Je peux changer d'avis si les labels sont compréhensibles.
146,4.3,3.7,4.3,3.9,6.5,5.1,5.6,6.4,8.3,4.9,5.3,4.0,6.7,6.6,7.6,6.7,7.2,4.2,3.6,local,moyen,femme,18-25,producteur,engage,J'utilise volontiers des applications ou des avis pour m'aider à choisir. La dimension environnementale compte aussi dans ma décision. Je peux changer d'avis si le prix reste acceptable.
147,7.1,5.4,4.5,8.9,7.6,5.6,4.2,5.9,6.5,6.3,6.4,4.9,5.9,5.2,3.2,4.4,4.6,1.0,3.6,bio,moyen,homme,41-60,supermarche,intermediaire,"Le produit peut m'intéresser si le rapport qualité-prix est bon. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
148,4.9,4.4,5.6,7.5,7.5,9,5.0,5.2,7.0,4.4,9,6.8,7.2,6.3,6.0,5.3,6.3,3.0,4.4,standard,faible,femme,26-40,supermarche,intermediaire,J'aime savoir qui produit et comment le produit a été fabriqué. Je peux être intéressé si je suis suffisamment rassuré. Je peux changer d'avis si les labels sont compréhensibles.
149,4.2,4.1,7.0,6.4,3.4,6.8,1,8.0,2.7,4.5,7.1,4.4,4.9,5.5,6.2,9,7.3,1.9,7.6,standard,moyen,femme,18-25,magasin_bio,pragmatique,"Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. Je ne veux pas que cela complique mes courses. Dans mes achats, je fais attention à l'origine."
150,4.2,6.2,3.0,3.7,7.1,5.3,7.4,5.7,7.3,4.2,7.6,7.1,3.7,7.0,3.0,3.4,6.8,4.7,8.4,local,moyen,femme,41-60,marche,engage,"J'aime savoir qui produit et comment le produit a été fabriqué. Je cherche une alimentation plus responsable. Dans mes achats, je fais attention à la qualité."
151,2.5,2.7,6.0,3.7,2.9,6.0,4.7,2.3,4.1,7.7,3.7,4.8,6.3,5.3,5.8,1.3,4.6,5.0,5.1,standard,fort,homme,18-25,supermarche,pragmatique,Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je peux être intéressé si l'effort demandé reste limité. Je peux changer d'avis si le bénéfice est clair.
152,2.7,3.2,8.9,6.1,5.3,6.2,3.0,6.1,3.5,8.9,7.9,2.9,3.2,3.5,8.6,7.2,8.1,7.9,5.2,bio,fort,homme,41-60,supermarche,pragmatique,Je n'ai pas toujours le temps de comparer les labels ou l'origine. Je peux être intéressé si l'effort demandé reste limité. Je peux changer d'avis si le produit est facile à acheter.
153,2.5,3.3,6.1,3.2,2.8,7.9,7.4,5.5,7.7,8.0,2.7,1.2,4.5,6.5,5.6,5.6,5.9,7.2,3.4,standard,fort,homme,26-40,supermarche,intermediaire,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. J'hésite encore selon le prix et la disponibilité. Au quotidien, l'habitude influence beaucoup mes choix."
154,4.8,4.5,8.5,4.2,5.8,8.2,5.2,3.3,7.3,4.3,3.2,5.1,4.4,6.0,7.6,5.3,6.7,3.6,5.5,local,fort,femme,41-60,magasin_bio,pragmatique,"J'aime découvrir de nouveaux produits et comparer les informations. Je ne veux pas que cela complique mes courses. Au quotidien, la clarté des informations influence beaucoup mes choix."
155,5.5,6.1,6.3,7.9,2.6,8.7,5.2,5.2,9,7.5,3.9,2.9,5.3,3.9,2.8,5.9,6.8,3.6,6.1,standard,fort,homme,26-40,magasin_bio,pragmatique,"Je regarde surtout le prix et le côté pratique. Je choisis d'abord ce qui est accessible et facile. Dans mes achats, je fais attention à la confiance."
156,4.5,1.5,8.1,5.3,5.2,6.1,6.1,9,8.4,6.9,6.3,4.0,3.9,2.4,4.7,5.6,6.2,2.9,3.0,local,moyen,femme,60+,marche,intermediaire,"Les promesses responsables sont intéressantes, mais je reste attentif au coût. J'ai besoin d'informations simples pour me faire une opinion. Dans mes achats, je fais attention à la confiance."
157,6.0,5.6,5.4,3.0,8.3,8.8,9,6.0,9,5.3,6.6,6.4,7.8,8.1,4.1,5.1,2.6,9,4.9,local,fort,femme,26-40,producteur,engage,"L'origine du produit et la saisonnalité sont importantes pour moi. La dimension environnementale compte aussi dans ma décision. Au quotidien, la clarté des informations influence beaucoup mes choix."
158,5.5,4.7,7.3,7.7,6.5,8.5,6.3,7.0,9,5.9,5.5,4.1,5.0,6.4,7.7,7.5,8.5,7.6,7.5,local,moyen,homme,26-40,producteur,intermediaire,"Je peux changer mes habitudes si le produit me convainc. Je peux être intéressé si je suis suffisamment rassuré. Dans mes achats, je fais attention à la confiance."
159,4.5,4.1,7.3,4.4,9,8.8,3.7,4.9,4.6,6.9,7.9,4.7,4.1,4.5,2.5,4.4,6.9,7.8,3.2,bio,fort,femme,18-25,supermarche,pragmatique,Je regarde surtout le prix et le côté pratique. Je choisis d'abord ce qui est accessible et facile. Je peux changer d'avis si les labels sont compréhensibles.
160,3.8,4.7,5.7,4.5,5.7,5.8,8.0,4.0,9,4.3,5.6,4.6,3.6,8.0,4.2,5.5,8.3,7.3,6.2,bio,fort,femme,60+,producteur,engage,L'origine du produit et la saisonnalité sont importantes pour moi. L'engagement du produit doit être crédible et concret. Je peux changer d'avis si les labels sont compréhensibles.
161,5.0,5.7,5.4,6.4,5.3,7.2,7.0,9,9,6.5,6.3,4.2,5.7,8.3,4.8,3.2,5.5,3.7,3.6,bio,moyen,homme,18-25,producteur,engage,"Je regarde surtout le prix et le côté pratique. L'engagement du produit doit être crédible et concret. Pour ce type de produit, j'attends surtout un produit facile à trouver."
162,3.2,4.9,6.0,5.4,6.1,5.7,5.2,8.0,8.2,9,6.9,5.9,3.2,4.3,3.9,4.2,6.7,3.3,2.0,bio,fort,femme,18-25,supermarche,intermediaire,"Je choisis souvent ce qui est disponible rapidement et facile à acheter. J'ai besoin d'informations simples pour me faire une opinion. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
